Date,Open,High,Low,Close,Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d
04/05/01,6139.490234,6139.490234,6079,6129.509766,101114800,9.2579,-0.003165613,-0.002703867,-0.000992759,0.2391,-0.0187,-0.0011,0.1545,-0.00015,-0.0019,-0.0133
07/05/01,6120.77002,6137.430176,6065.450195,6065.580078,52010600,9.2212,-0.003964182,-0.007117246,-0.008995261,0.2486,0.0095,-0.0062,0.154,-0.0005,-0.0024,-0.0143
08/05/01,6066.77002,6084.779785,6008.049805,6010.52002,82828600,9.2048,-0.00177851,-0.005735642,-0.005284373,0.2444,-0.0042,0.0024,0.1539,-1.00E-04,-0.0025,-0.0137
09/05/01,6010.490234,6108.810059,5957.910156,6106.419922,116296800,9.216,0.001216756,-0.000563918,-0.007217494,0.2435,-0.0009,0.0012,0.1536,-0.0003,-0.0022,-0.01175
10/05/01,6106.470215,6167.549805,6084.990234,6092.069824,114647600,9.1967,-0.002094184,-0.000879976,-0.009755257,0.24,-0.0035,-0.0178,0.152475,-0.001125,-0.002175,-0.012875
11/05/01,6095.709961,6137.470215,6081.680176,6110.359863,66924600,9.225,0.003077191,0.000976563,-0.003553722,0.2354,-0.0046,-0.0037,0.1519,-0.000575,-0.0026,-0.01345
14/05/01,6109.709961,6109.709961,6028.899902,6042.029785,62199000,9.1922,-0.003555556,-0.000489306,-0.003144927,0.2426,0.0072,-0.006,0.15085,-0.00105,-0.00315,-0.0144
15/05/01,6041.890137,6053.720215,5985.810059,5987,93496600,9.161,-0.003394182,-0.006937669,-0.004758387,0.2371,-0.0055,-0.0073,0.15005,-0.0008,-0.00385,-0.01485
16/05/01,5986.910156,6043.410156,5948.930176,6033.970215,90649200,9.1645,0.000382054,-0.003013424,-0.005588108,0.2189,-0.0182,-0.0246,0.1489,-0.00115,-0.0047,-0.0154
17/05/01,6051.02002,6417.009766,6051.02002,6392.77002,537892600,8.9952,-0.018473457,-0.018098461,-0.021910033,0.2147,-0.0042,-0.0253,0.148,-0.0009,-0.004475,-0.01365
18/05/01,6393.390137,6564.200195,6388.169922,6527.600098,256638800,8.9774,-0.001978833,-0.020415735,-0.026840108,0.2123,-0.0024,-0.0231,0.1435,-0.0045,-0.0084,-0.0163
21/05/01,6530.529785,6588.910156,6507.910156,6571.080078,159352800,8.9428,-0.003854123,-0.005825329,-0.027131699,0.2076,-0.0047,-0.035,0.142,-0.0015,-0.00885,-0.0182
22/05/01,6573.310059,6664.75,6573.310059,6651.27002,162248800,8.966,0.002594266,-0.001269855,-0.021285886,0.2135,0.0059,-0.0236,0.1265,-0.0155,-0.02355,-0.03405
