Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d,Simple_return_1,Simple_return_2,Simple_return_4,Simple_return_20,std_dev_return_10,Lagged_Return_1_1,Lagged_Return_1_2,Lagged_Return_1_3,Lagged_Return_1_5,Lagged_Return_1_10,Lagged_Return_5_3,Lagged_Return_5_5,Lagged_Return_5_10,Lagged_Return_10_1,Lagged_Return_10_3,Lagged_Return_10_5,Lagged_Return_10_10,RSI_28,%K_14,ADX_14,ADX_28,OBV,OBV_Change_1,OBV_Change_3,OBV_Change_5,OBV_Change_10,ATR_14,CLV,Chaikin_Oscillator_5_15,PVO_12_26,Date,forward_return,return_category,Close
66159800.0,9.9223,0.001908435,-0.002803964,-0.000604333,0.2825,0.0114,0.0114,0.0865,-0.002,-0.011,0.0035,0.004036907002833434,0.025674533903026653,0.019781413136369608,-0.04461045965579169,0.020556627642611718,0.02155062901500715,0.003166598050377667,-0.008884070804471733,0.009383079027216246,-0.011828307351546385,-0.007513030275445032,-0.00646166576360363,-0.03234939418739158,-0.017927881209494845,-0.06779852820099852,-0.03860202897810128,-0.042541779022908455,30.315619804892933,55.95489594129683,21.28178011483267,11.998839823167865,254197000.0,66159800.0,193142800.0,55140200.0,190522000.0,131.84437771428597,0.4534992500949069,24499338.054200873,-4.0769728658768765,2002-07-08,-0.004310382519157163,0,6488.919922
72666800.0,9.8552,-0.006762545,-0.004867015,-0.010641288,0.3022,0.0197,0.0126,0.0853,-0.0012,-0.0102,0.0033,-0.004310382519157163,-0.00029087612970035703,0.024487383614141045,-0.05781616577512538,0.01849149783740386,0.004036907002833434,0.02155062901500715,0.003166598050377667,-0.015152630347741058,-0.026395690788197812,0.02509229392167045,0.005011590297448132,-0.06740671164820955,-0.0021605962407134083,-0.05448327956119714,-0.06273293617284037,-0.0767198310711823,30.797708213510703,51.916366083127215,21.882943280012572,12.132924941277754,181530200.0,-72666800.0,59163200.0,33145600.0,209922000.0,133.72007528571456,-0.929732890853137,3726697.9812170547,-4.962487586212983,2002-07-09,-0.0138803383857381,0,6460.950195
54769200.0,9.8338,-0.002171442,-0.008919303,-0.013364102,0.341,0.0388,0.0468,0.08355,-0.00175,-0.01095,0.00265,-0.0138803383857381,-0.018130891336957444,0.007078140381746367,-0.0678463760058522,0.019156378686482563,-0.004310382519157163,0.004036907002833434,0.02155062901500715,-0.008884070804471733,0.003623248017426306,0.009676769898292692,-0.007513030275445032,-0.0607418533084465,0.020474462608667032,-0.017927881209494845,-0.06779852820099852,-0.07033507446964149,32.011298427105444,45.92906760326636,22.496343261420684,12.277909264475086,126761000.0,-54769200.0,-61276200.0,65706800.0,13965800.0,135.33436800000027,-0.9356406114619598,-5146699.007289968,-7.3917921357544225,2002-07-10,0.002966426150621704,1,6371.27002
71061400.0,9.7979,-0.003650674,-0.005814189,-0.015306225,0.3385,-0.0025,0.0443,0.0834,-0.00015,-0.00935,0.0014,0.002966426150621704,-0.010955087233883276,-0.011242776790208464,-0.06888063273101475,0.016184799061469492,-0.0138803383857381,-0.004310382519157163,0.004036907002833434,0.003166598050377667,-0.02874133096937681,0.004329042347616996,0.02509229392167045,-0.07762771601612306,0.002676984357960599,-0.0021605962407134083,-0.05448327956119714,-0.10072436542050978,33.711728142457886,59.98693455752469,21.828401240706242,12.165134161600331,197822400.0,71061400.0,-56374600.0,75455400.0,221741400.0,133.90293664285738,0.48000059127253664,7673640.581788136,-7.667220110817353,2002-07-11,0.0016040262035461605,1,6390.169922
70469600.0,9.7072,-0.009257086,-0.012873965,-0.019811378,0.3294,-0.0091,0.0583,0.0826,-0.0008,-0.0059,0.0026,0.0016040262035461605,0.004575210579444322,-0.01363863340337268,-0.05899009590041082,0.01110514083562195,0.002966426150621704,-0.0138803383857381,-0.004310382519157163,0.02155062901500715,0.03714744052158858,0.015385765159825038,0.009676769898292692,-0.027340087373276978,0.03541042530790417,0.020474462608667032,-0.017927881209494845,-0.058920963409504146,34.5361967864376,64.71267988811677,21.04784169066553,12.018542708572983,268292000.0,70469600.0,86761800.0,80254800.0,170967600.0,133.27221678571453,-0.13000385755507252,5817679.930963948,-7.874474173594768,2002-07-12,-0.0044278101039259,0,6400.419922
52169000.0,9.7522,0.004635734,-0.004664265,-0.017143203,0.3503,0.0209,0.0678,0.08165,-0.00095,-0.00485,0.0019,-0.0044278101039259,-0.00283088622381078,-0.0137549608521631,-0.05182602043285656,0.010665276778651034,0.0016040262035461605,0.002966426150621704,-0.0138803383857381,0.004036907002833434,0.009383079027216246,0.01026715205765738,0.004329042347616996,-0.00646166576360363,-7.346087652437827e-05,0.002676984357960599,-0.0021605962407134083,-0.03860202897810128,34.64228958969551,58.5139774542852,20.41563989748156,11.896631995884663,216123000.0,-52169000.0,89362000.0,-38074000.0,17066200.0,131.3528878571431,0.6070388292700566,12998867.996808115,-9.904252205269987,2002-07-15,-0.00877577201094304,0,6372.080078
71876200.0,9.7345,-0.001814975,0.002812345,-0.012247342,0.3665,0.0162,0.0643,0.08145,-0.0002,-0.00385,0.00295,-0.00877577201094304,-0.013164724662889093,-0.00864974547099795,-0.06963970650922569,0.009911162183662671,-0.0044278101039259,0.0016040262035461605,0.002966426150621704,-0.004310382519157163,-0.015152630347741058,0.010065563313094383,0.015385765159825038,0.005011590297448132,-0.0137549608521631,0.03541042530790417,0.020474462608667032,-0.06273293617284037,33.10483667419972,46.28275428308247,19.430465387774372,11.697548166744154,144246800.0,-71876200.0,-53575600.0,-37283400.0,-4137800.0,128.99790742857172,-0.46719201652704445,3052817.472331305,-9.337343193851918,2002-07-16,0.013793131720581941,1,6316.160156
72998200.0,9.6468,-0.009009194,-0.010807818,-0.019016047,0.3545,-0.012,0.0135,0.0809,-0.00055,-0.00265,0.0034,0.013793131720581941,0.004896314330342211,0.002051567197746129,-0.05349593420972065,0.010411088792936087,-0.00877577201094304,-0.0044278101039259,0.0016040262035461605,-0.0138803383857381,-0.008884070804471733,-0.009656784295234533,0.01026715205765738,-0.007513030275445032,-0.0073690526456596794,-7.346087652437827e-05,0.002676984357960599,-0.06779852820099852,36.50161477027509,59.36971454628769,19.038674838401185,11.616852060719184,217245000.0,72998200.0,-51047000.0,90484000.0,156190800.0,117.385044714286,1.0,19327542.8588521,-8.668286904152529,2002-07-17,0.0047710382844063925,1,6403.279785
61903600.0,9.6462,-6.22e-05,-0.009070831,-0.01548291,0.3512,-0.0033,0.0127,0.0789,-0.002,-0.0045,5e-05,0.0047710382844063925,0.018629977564489142,0.00521999437648768,-0.038440953798034916,0.010450675219938624,0.013793131720581941,-0.00877577201094304,-0.0044278101039259,0.002966426150621704,0.003166598050377667,-0.018006054228511426,0.010065563313094383,0.02509229392167045,0.015342814213408218,-0.0137549608521631,0.03541042530790417,-0.05448327956119714,40.88845253963598,62.98185549273798,18.11151733714461,11.423450315632172,279148600.0,61903600.0,63025600.0,81326200.0,156781600.0,106.3171387857145,0.29852020503533694,16657750.74945904,-9.261077992333346,2002-07-18,-0.015057886488372363,0,6433.830078
52481400.0,9.7053,0.006126765,0.006064187,-0.000195731,0.3817,0.0305,0.0523,0.0794,0.0005,-0.0032,-0.002,-0.015057886488372363,-0.01035868995688427,-0.0055130950286214064,-0.03705620764217232,0.00905606561058503,0.0047710382844063925,0.013793131720581941,-0.00877577201094304,0.0016040262035461605,0.02155062901500715,-0.022410022462648116,-0.009656784295234533,0.009676769898292692,0.01696672879112837,-0.0073690526456596794,-7.346087652437827e-05,-0.017927881209494845,36.964464424126845,34.94624186298122,16.78007871926258,11.13616460324159,226667200.0,-52481400.0,82420400.0,-41624800.0,38630000.0,103.23573535714311,-0.9929734367926764,-300390.8226886764,-10.728248369240939,2002-07-19,-0.035209384662048815,0,6336.950195
